year,avg_days_between_incidents,avg_injured_or_killed
2014,2.104651162790698,7.7514450867052025
2015,1.8258706467661692,8.482587064676617
2016,1.8208955223880596,9.895522388059701
2017,1.825,11.2
2018,1.7718446601941749,8.344660194174757
2019,1.6766917293233083,10.135338345864662
